checkpoint,cutoff,team,champion_%,final_%,semifinal_%
After matchday 1,2026-06-17,Norway,3.105,7.265,15.17
After matchday 1,2026-06-17,Morocco,2.56,6.355,14.115
After matchday 1,2026-06-17,Netherlands,2.03,5.055,11.295
After matchday 1,2026-06-17,Belgium,1.92,5.06,11.645
After matchday 1,2026-06-17,Mexico,1.92,4.945,12.125
After matchday 1,2026-06-17,Japan,1.605,4.06,9.505
After matchday 1,2026-06-17,Australia,1.075,3.44,9.365
After matchday 1,2026-06-17,United States,1.035,3.685,9.71
After matchday 1,2026-06-17,Austria,1.0,3.08,8.43
After matchday 1,2026-06-17,South Korea,0.965,2.88,7.965
After matchday 1,2026-06-17,Croatia,0.92,2.705,6.995
After matchday 1,2026-06-17,Ecuador,0.89,2.445,6.4
After matchday 1,2026-06-17,Switzerland,0.705,2.36,6.45
After matchday 1,2026-06-17,Uruguay,0.675,2.13,5.555
After matchday 1,2026-06-17,Senegal,0.475,1.42,3.925
After matchday 1,2026-06-17,Canada,0.375,1.36,4.415
After matchday 1,2026-06-17,Scotland,0.325,1.28,3.77
After matchday 1,2026-06-17,Ivory Coast,0.31,1.14,4.195
After matchday 1,2026-06-17,Sweden,0.305,1.175,3.59
After matchday 1,2026-06-17,Iran,0.285,1.08,3.61
After matchday 1,2026-06-17,Algeria,0.255,0.91,2.715
After matchday 1,2026-06-17,Egypt,0.165,0.57,2.435
After matchday 1,2026-06-17,Paraguay,0.13,0.5,1.275
After matchday 1,2026-06-17,Turkey,0.09,0.425,1.56
After matchday 1,2026-06-17,Czech Republic,0.075,0.45,1.915
After matchday 1,2026-06-17,DR Congo,0.07,0.3,1.4
After matchday 1,2026-06-17,Uzbekistan,0.055,0.24,0.885
After matchday 1,2026-06-17,Panama,0.025,0.085,0.44
After matchday 1,2026-06-17,Saudi Arabia,0.02,0.055,0.345
After matchday 1,2026-06-17,Bosnia and Herzegovina,0.015,0.13,0.585
After matchday 1,2026-06-17,Jordan,0.01,0.05,0.245
After matchday 1,2026-06-17,Ghana,0.005,0.085,0.6
After matchday 1,2026-06-17,Qatar,0.005,0.015,0.07
After matchday 1,2026-06-17,New Zealand,0.0,0.065,0.455
After matchday 1,2026-06-17,Cape Verde,0.0,0.04,0.405
After matchday 1,2026-06-17,Iraq,0.0,0.015,0.065
After matchday 1,2026-06-17,Haiti,0.0,0.015,0.06
After matchday 1,2026-06-17,South Africa,0.0,0.01,0.125
After matchday 1,2026-06-17,Tunisia,0.0,0.0,0.03
After matchday 1,2026-06-17,Curaçao,0.0,0.0,0.025
After matchday 2,2026-06-23,Argentina,21.47,33.775,50.12
After matchday 2,2026-06-23,France,14.47,23.93,37.435
After matchday 2,2026-06-23,Spain,13.385,22.73,37.885
After matchday 2,2026-06-23,Brazil,6.54,12.56,23.435
After matchday 2,2026-06-23,England,5.895,11.82,23.94
After matchday 2,2026-06-23,Colombia,5.3,10.945,21.14
After matchday 2,2026-06-23,Germany,4.835,10.565,19.015
After matchday 2,2026-06-23,Portugal,4.835,10.43,21.75
After matchday 2,2026-06-23,Netherlands,3.735,7.855,15.945
After matchday 2,2026-06-23,Norway,3.44,8.055,18.515
After matchday 2,2026-06-23,United States,2.475,6.84,17.745
After matchday 2,2026-06-23,Morocco,2.455,6.19,13.755
After matchday 2,2026-06-23,Mexico,1.71,4.625,12.4
After matchday 2,2026-06-23,Japan,1.445,3.815,9.6
After matchday 2,2026-06-23,Belgium,1.08,2.835,7.2
After matchday 2,2026-06-23,Switzerland,1.07,3.52,8.835
After matchday 2,2026-06-23,Croatia,0.735,2.475,7.025
After matchday 2,2026-06-23,Austria,0.645,1.94,5.325
After matchday 2,2026-06-23,Canada,0.58,2.01,5.77
After matchday 2,2026-06-23,Algeria,0.495,1.52,4.275
After matchday 2,2026-06-23,Uruguay,0.42,1.21,3.43
After matchday 2,2026-06-23,South Korea,0.375,1.32,4.1
After matchday 2,2026-06-23,Egypt,0.365,1.22,4.38
After matchday 2,2026-06-23,Senegal,0.355,1.1,3.265
After matchday 2,2026-06-23,Australia,0.345,1.165,3.885
After matchday 2,2026-06-23,Paraguay,0.315,1.17,3.34
After matchday 2,2026-06-23,Iran,0.31,1.03,3.17
After matchday 2,2026-06-23,Sweden,0.225,0.815,2.57
After matchday 2,2026-06-23,Scotland,0.215,0.765,3.025
After matchday 2,2026-06-23,Ivory Coast,0.205,0.72,3.0
After matchday 2,2026-06-23,Ecuador,0.18,0.51,1.59
After matchday 2,2026-06-23,DR Congo,0.045,0.11,0.7
After matchday 2,2026-06-23,Ghana,0.01,0.1,0.65
After matchday 2,2026-06-23,Cape Verde,0.01,0.075,0.435
After matchday 2,2026-06-23,Czech Republic,0.01,0.075,0.39
After matchday 2,2026-06-23,Saudi Arabia,0.01,0.025,0.115
After matchday 2,2026-06-23,Bosnia and Herzegovina,0.005,0.075,0.415
After matchday 2,2026-06-23,Turkey,0.005,0.02,0.135
After matchday 2,2026-06-23,Uzbekistan,0.0,0.02,0.1
After matchday 2,2026-06-23,New Zealand,0.0,0.015,0.05
After matchday 2,2026-06-23,South Africa,0.0,0.01,0.045
After matchday 2,2026-06-23,Iraq,0.0,0.01,0.045
After matchday 2,2026-06-23,Jordan,0.0,0.005,0.02
After matchday 2,2026-06-23,Curaçao,0.0,0.0,0.015
After matchday 2,2026-06-23,Haiti,0.0,0.0,0.01
After matchday 2,2026-06-23,Qatar,0.0,0.0,0.005
After matchday 2,2026-06-23,Panama,0.0,0.0,0.005
After matchday 2,2026-06-23,Tunisia,0.0,0.0,0.0
After group stage,2026-06-27,Argentina,22.09,35.805,53.21
After group stage,2026-06-27,France,18.295,29.555,44.415
After group stage,2026-06-27,Spain,12.66,21.915,37.825
After group stage,2026-06-27,Brazil,6.935,13.455,25.83
After group stage,2026-06-27,England,5.61,11.69,23.57
After group stage,2026-06-27,Colombia,5.485,11.86,21.82
After group stage,2026-06-27,Netherlands,3.49,7.86,15.71
After group stage,2026-06-27,Portugal,3.4,7.53,16.315
After group stage,2026-06-27,Morocco,3.075,7.28,15.025
After group stage,2026-06-27,Germany,2.3,5.625,12.385
After group stage,2026-06-27,Mexico,2.2,5.27,13.315
After group stage,2026-06-27,Switzerland,2.03,5.275,11.425
After group stage,2026-06-27,Norway,1.865,4.84,13.175
After group stage,2026-06-27,Belgium,1.565,4.415,12.015
After group stage,2026-06-27,United States,1.545,4.69,12.725
After group stage,2026-06-27,Japan,1.25,3.195,8.89
After group stage,2026-06-27,Ecuador,1.16,3.235,9.045
After group stage,2026-06-27,Senegal,1.07,3.08,9.14
After group stage,2026-06-27,Croatia,0.88,2.59,7.01
After group stage,2026-06-27,Canada,0.64,2.28,6.44
After group stage,2026-06-27,Australia,0.42,1.36,4.655
After group stage,2026-06-27,Algeria,0.405,1.36,3.905
After group stage,2026-06-27,Austria,0.37,1.145,3.88
After group stage,2026-06-27,Paraguay,0.335,1.155,3.45
After group stage,2026-06-27,Egypt,0.26,0.93,3.365
After group stage,2026-06-27,Ivory Coast,0.235,0.91,3.785
After group stage,2026-06-27,DR Congo,0.165,0.58,2.39
After group stage,2026-06-27,Sweden,0.15,0.59,1.925
After group stage,2026-06-27,Bosnia and Herzegovina,0.035,0.165,1.09
After group stage,2026-06-27,Cape Verde,0.03,0.135,1.04
After group stage,2026-06-27,South Africa,0.025,0.125,0.65
After group stage,2026-06-27,Ghana,0.025,0.1,0.58
After group stage,2026-06-27,South Korea,0.0,0.0,0.0
After group stage,2026-06-27,Czech Republic,0.0,0.0,0.0
After group stage,2026-06-27,Qatar,0.0,0.0,0.0
After group stage,2026-06-27,Haiti,0.0,0.0,0.0
After group stage,2026-06-27,Scotland,0.0,0.0,0.0
After group stage,2026-06-27,Turkey,0.0,0.0,0.0
After group stage,2026-06-27,Curaçao,0.0,0.0,0.0
After group stage,2026-06-27,Tunisia,0.0,0.0,0.0
After group stage,2026-06-27,Iran,0.0,0.0,0.0
After group stage,2026-06-27,New Zealand,0.0,0.0,0.0
After group stage,2026-06-27,Saudi Arabia,0.0,0.0,0.0
After group stage,2026-06-27,Uruguay,0.0,0.0,0.0
After group stage,2026-06-27,Iraq,0.0,0.0,0.0
After group stage,2026-06-27,Jordan,0.0,0.0,0.0
After group stage,2026-06-27,Uzbekistan,0.0,0.0,0.0
After group stage,2026-06-27,Panama,0.0,0.0,0.0
After round of 32,2026-07-03,Argentina,23.58,38.385,58.925
After round of 32,2026-07-03,France,20.815,36.27,59.89
After round of 32,2026-07-03,Spain,14.89,26.44,44.39
After round of 32,2026-07-03,Brazil,7.32,15.21,30.37
After round of 32,2026-07-03,England,6.52,13.4,28.69
After round of 32,2026-07-03,Portugal,4.435,10.525,22.85
After round of 32,2026-07-03,Colombia,4.38,10.35,22.265
After round of 32,2026-07-03,Morocco,3.94,9.315,22.06
After round of 32,2026-07-03,Mexico,3.56,8.43,22.25
After round of 32,2026-07-03,Belgium,2.77,7.585,19.535
After round of 32,2026-07-03,Norway,2.68,7.05,18.69
After round of 32,2026-07-03,Switzerland,2.08,6.005,14.505
After round of 32,2026-07-03,United States,1.41,4.445,13.225
After round of 32,2026-07-03,Paraguay,0.72,2.635,8.515
After round of 32,2026-07-03,Canada,0.595,2.785,9.535
After round of 32,2026-07-03,Egypt,0.305,1.17,4.305
After round of 32,2026-07-03,South Africa,0.0,0.0,0.0
After round of 32,2026-07-03,Bosnia and Herzegovina,0.0,0.0,0.0
After round of 32,2026-07-03,Australia,0.0,0.0,0.0
After round of 32,2026-07-03,Germany,0.0,0.0,0.0
After round of 32,2026-07-03,Ivory Coast,0.0,0.0,0.0
After round of 32,2026-07-03,Ecuador,0.0,0.0,0.0
After round of 32,2026-07-03,Netherlands,0.0,0.0,0.0
After round of 32,2026-07-03,Japan,0.0,0.0,0.0
After round of 32,2026-07-03,Sweden,0.0,0.0,0.0
After round of 32,2026-07-03,Cape Verde,0.0,0.0,0.0
After round of 32,2026-07-03,Senegal,0.0,0.0,0.0
After round of 32,2026-07-03,Algeria,0.0,0.0,0.0
After round of 32,2026-07-03,Austria,0.0,0.0,0.0
After round of 32,2026-07-03,DR Congo,0.0,0.0,0.0
After round of 32,2026-07-03,Croatia,0.0,0.0,0.0
After round of 32,2026-07-03,Ghana,0.0,0.0,0.0
After round of 32,2026-07-03,South Korea,0.0,0.0,0.0
After round of 32,2026-07-03,Czech Republic,0.0,0.0,0.0
After round of 32,2026-07-03,Qatar,0.0,0.0,0.0
After round of 32,2026-07-03,Haiti,0.0,0.0,0.0
After round of 32,2026-07-03,Scotland,0.0,0.0,0.0
After round of 32,2026-07-03,Turkey,0.0,0.0,0.0
After round of 32,2026-07-03,Curaçao,0.0,0.0,0.0
After round of 32,2026-07-03,Tunisia,0.0,0.0,0.0
After round of 32,2026-07-03,Iran,0.0,0.0,0.0
After round of 32,2026-07-03,New Zealand,0.0,0.0,0.0
After round of 32,2026-07-03,Saudi Arabia,0.0,0.0,0.0
After round of 32,2026-07-03,Uruguay,0.0,0.0,0.0
After round of 32,2026-07-03,Iraq,0.0,0.0,0.0
After round of 32,2026-07-03,Jordan,0.0,0.0,0.0
After round of 32,2026-07-03,Uzbekistan,0.0,0.0,0.0
After round of 32,2026-07-03,Panama,0.0,0.0,0.0
After round of 16,2026-07-07,Argentina,30.13,51.055,77.8
After round of 16,2026-07-07,Spain,21.605,39.335,70.015
After round of 16,2026-07-07,France,18.735,35.735,65.89
After round of 16,2026-07-07,England,12.56,26.775,59.705
After round of 16,2026-07-07,Norway,5.29,13.7,40.295
After round of 16,2026-07-07,Morocco,5.23,13.455,34.11
After round of 16,2026-07-07,Belgium,3.97,11.475,29.985
After round of 16,2026-07-07,Switzerland,2.48,8.47,22.2
After round of 16,2026-07-07,Mexico,0.0,0.0,0.0
After round of 16,2026-07-07,Canada,0.0,0.0,0.0
After round of 16,2026-07-07,Brazil,0.0,0.0,0.0
After round of 16,2026-07-07,United States,0.0,0.0,0.0
After round of 16,2026-07-07,Paraguay,0.0,0.0,0.0
After round of 16,2026-07-07,Egypt,0.0,0.0,0.0
After round of 16,2026-07-07,Portugal,0.0,0.0,0.0
After round of 16,2026-07-07,Colombia,0.0,0.0,0.0
After round of 16,2026-07-07,South Africa,0.0,0.0,0.0
After round of 16,2026-07-07,Bosnia and Herzegovina,0.0,0.0,0.0
After round of 16,2026-07-07,Australia,0.0,0.0,0.0
After round of 16,2026-07-07,Germany,0.0,0.0,0.0
After round of 16,2026-07-07,Ivory Coast,0.0,0.0,0.0
After round of 16,2026-07-07,Ecuador,0.0,0.0,0.0
After round of 16,2026-07-07,Netherlands,0.0,0.0,0.0
After round of 16,2026-07-07,Japan,0.0,0.0,0.0
After round of 16,2026-07-07,Sweden,0.0,0.0,0.0
After round of 16,2026-07-07,Cape Verde,0.0,0.0,0.0
After round of 16,2026-07-07,Senegal,0.0,0.0,0.0
After round of 16,2026-07-07,Algeria,0.0,0.0,0.0
After round of 16,2026-07-07,Austria,0.0,0.0,0.0
After round of 16,2026-07-07,DR Congo,0.0,0.0,0.0
After round of 16,2026-07-07,Croatia,0.0,0.0,0.0
After round of 16,2026-07-07,Ghana,0.0,0.0,0.0
After round of 16,2026-07-07,South Korea,0.0,0.0,0.0
After round of 16,2026-07-07,Czech Republic,0.0,0.0,0.0
After round of 16,2026-07-07,Qatar,0.0,0.0,0.0
After round of 16,2026-07-07,Haiti,0.0,0.0,0.0
After round of 16,2026-07-07,Scotland,0.0,0.0,0.0
After round of 16,2026-07-07,Turkey,0.0,0.0,0.0
After round of 16,2026-07-07,Curaçao,0.0,0.0,0.0
After round of 16,2026-07-07,Tunisia,0.0,0.0,0.0
After round of 16,2026-07-07,Iran,0.0,0.0,0.0
After round of 16,2026-07-07,New Zealand,0.0,0.0,0.0
After round of 16,2026-07-07,Saudi Arabia,0.0,0.0,0.0
After round of 16,2026-07-07,Uruguay,0.0,0.0,0.0
After round of 16,2026-07-07,Iraq,0.0,0.0,0.0
After round of 16,2026-07-07,Jordan,0.0,0.0,0.0
After round of 16,2026-07-07,Uzbekistan,0.0,0.0,0.0
After round of 16,2026-07-07,Panama,0.0,0.0,0.0
After quarter-finals,2026-07-11,Argentina,32.44,60.82,100.0
After quarter-finals,2026-07-11,Spain,26.835,52.235,100.0
After quarter-finals,2026-07-11,France,24.565,47.765,100.0
After quarter-finals,2026-07-11,England,16.16,39.18,100.0
After quarter-finals,2026-07-11,Switzerland,0.0,0.0,0.0
After quarter-finals,2026-07-11,Morocco,0.0,0.0,0.0
After quarter-finals,2026-07-11,Belgium,0.0,0.0,0.0
After quarter-finals,2026-07-11,Norway,0.0,0.0,0.0
After quarter-finals,2026-07-11,Mexico,0.0,0.0,0.0
After quarter-finals,2026-07-11,Canada,0.0,0.0,0.0
After quarter-finals,2026-07-11,Brazil,0.0,0.0,0.0
After quarter-finals,2026-07-11,United States,0.0,0.0,0.0
After quarter-finals,2026-07-11,Paraguay,0.0,0.0,0.0
After quarter-finals,2026-07-11,Egypt,0.0,0.0,0.0
After quarter-finals,2026-07-11,Portugal,0.0,0.0,0.0
After quarter-finals,2026-07-11,Colombia,0.0,0.0,0.0
After quarter-finals,2026-07-11,South Africa,0.0,0.0,0.0
After quarter-finals,2026-07-11,Bosnia and Herzegovina,0.0,0.0,0.0
After quarter-finals,2026-07-11,Australia,0.0,0.0,0.0
After quarter-finals,2026-07-11,Germany,0.0,0.0,0.0
After quarter-finals,2026-07-11,Ivory Coast,0.0,0.0,0.0
After quarter-finals,2026-07-11,Ecuador,0.0,0.0,0.0
After quarter-finals,2026-07-11,Netherlands,0.0,0.0,0.0
After quarter-finals,2026-07-11,Japan,0.0,0.0,0.0
After quarter-finals,2026-07-11,Sweden,0.0,0.0,0.0
After quarter-finals,2026-07-11,Cape Verde,0.0,0.0,0.0
After quarter-finals,2026-07-11,Senegal,0.0,0.0,0.0
After quarter-finals,2026-07-11,Algeria,0.0,0.0,0.0
After quarter-finals,2026-07-11,Austria,0.0,0.0,0.0
After quarter-finals,2026-07-11,DR Congo,0.0,0.0,0.0
After quarter-finals,2026-07-11,Croatia,0.0,0.0,0.0
After quarter-finals,2026-07-11,Ghana,0.0,0.0,0.0
After quarter-finals,2026-07-11,South Korea,0.0,0.0,0.0
After quarter-finals,2026-07-11,Czech Republic,0.0,0.0,0.0
After quarter-finals,2026-07-11,Qatar,0.0,0.0,0.0
After quarter-finals,2026-07-11,Haiti,0.0,0.0,0.0
After quarter-finals,2026-07-11,Scotland,0.0,0.0,0.0
After quarter-finals,2026-07-11,Turkey,0.0,0.0,0.0
After quarter-finals,2026-07-11,Curaçao,0.0,0.0,0.0
After quarter-finals,2026-07-11,Tunisia,0.0,0.0,0.0
After quarter-finals,2026-07-11,Iran,0.0,0.0,0.0
After quarter-finals,2026-07-11,New Zealand,0.0,0.0,0.0
After quarter-finals,2026-07-11,Saudi Arabia,0.0,0.0,0.0
After quarter-finals,2026-07-11,Uruguay,0.0,0.0,0.0
After quarter-finals,2026-07-11,Iraq,0.0,0.0,0.0
After quarter-finals,2026-07-11,Jordan,0.0,0.0,0.0
After quarter-finals,2026-07-11,Uzbekistan,0.0,0.0,0.0
After quarter-finals,2026-07-11,Panama,0.0,0.0,0.0
After semi-finals,2026-07-15,Argentina,52.26,100.0,100.0
After semi-finals,2026-07-15,Spain,47.74,100.0,100.0
After semi-finals,2026-07-15,France,0.0,0.0,100.0
After semi-finals,2026-07-15,England,0.0,0.0,100.0
After semi-finals,2026-07-15,Switzerland,0.0,0.0,0.0
After semi-finals,2026-07-15,Morocco,0.0,0.0,0.0
After semi-finals,2026-07-15,Belgium,0.0,0.0,0.0
After semi-finals,2026-07-15,Norway,0.0,0.0,0.0
After semi-finals,2026-07-15,Mexico,0.0,0.0,0.0
After semi-finals,2026-07-15,Canada,0.0,0.0,0.0
After semi-finals,2026-07-15,Brazil,0.0,0.0,0.0
After semi-finals,2026-07-15,United States,0.0,0.0,0.0
After semi-finals,2026-07-15,Paraguay,0.0,0.0,0.0
After semi-finals,2026-07-15,Egypt,0.0,0.0,0.0
After semi-finals,2026-07-15,Portugal,0.0,0.0,0.0
After semi-finals,2026-07-15,Colombia,0.0,0.0,0.0
After semi-finals,2026-07-15,South Africa,0.0,0.0,0.0
After semi-finals,2026-07-15,Bosnia and Herzegovina,0.0,0.0,0.0
After semi-finals,2026-07-15,Australia,0.0,0.0,0.0
After semi-finals,2026-07-15,Germany,0.0,0.0,0.0
After semi-finals,2026-07-15,Ivory Coast,0.0,0.0,0.0
After semi-finals,2026-07-15,Ecuador,0.0,0.0,0.0
After semi-finals,2026-07-15,Netherlands,0.0,0.0,0.0
After semi-finals,2026-07-15,Japan,0.0,0.0,0.0
After semi-finals,2026-07-15,Sweden,0.0,0.0,0.0
After semi-finals,2026-07-15,Cape Verde,0.0,0.0,0.0
After semi-finals,2026-07-15,Senegal,0.0,0.0,0.0
After semi-finals,2026-07-15,Algeria,0.0,0.0,0.0
After semi-finals,2026-07-15,Austria,0.0,0.0,0.0
After semi-finals,2026-07-15,DR Congo,0.0,0.0,0.0
After semi-finals,2026-07-15,Croatia,0.0,0.0,0.0
After semi-finals,2026-07-15,Ghana,0.0,0.0,0.0
After semi-finals,2026-07-15,South Korea,0.0,0.0,0.0
After semi-finals,2026-07-15,Czech Republic,0.0,0.0,0.0
After semi-finals,2026-07-15,Qatar,0.0,0.0,0.0
After semi-finals,2026-07-15,Haiti,0.0,0.0,0.0
After semi-finals,2026-07-15,Scotland,0.0,0.0,0.0
After semi-finals,2026-07-15,Turkey,0.0,0.0,0.0
After semi-finals,2026-07-15,Curaçao,0.0,0.0,0.0
After semi-finals,2026-07-15,Tunisia,0.0,0.0,0.0
After semi-finals,2026-07-15,Iran,0.0,0.0,0.0
After semi-finals,2026-07-15,New Zealand,0.0,0.0,0.0
After semi-finals,2026-07-15,Saudi Arabia,0.0,0.0,0.0
After semi-finals,2026-07-15,Uruguay,0.0,0.0,0.0
After semi-finals,2026-07-15,Iraq,0.0,0.0,0.0
After semi-finals,2026-07-15,Jordan,0.0,0.0,0.0
After semi-finals,2026-07-15,Uzbekistan,0.0,0.0,0.0
After semi-finals,2026-07-15,Panama,0.0,0.0,0.0
Final result,2026-07-19,Mexico,0.0,0.0,0.0
Final result,2026-07-19,South Africa,0.0,0.0,0.0
Final result,2026-07-19,South Korea,0.0,0.0,0.0
Final result,2026-07-19,Czech Republic,0.0,0.0,0.0
Final result,2026-07-19,Canada,0.0,0.0,0.0
Final result,2026-07-19,Bosnia and Herzegovina,0.0,0.0,0.0
Final result,2026-07-19,Qatar,0.0,0.0,0.0
Final result,2026-07-19,Switzerland,0.0,0.0,0.0
Final result,2026-07-19,Brazil,0.0,0.0,0.0
Final result,2026-07-19,Morocco,0.0,0.0,0.0
Final result,2026-07-19,Haiti,0.0,0.0,0.0
Final result,2026-07-19,Scotland,0.0,0.0,0.0
Final result,2026-07-19,United States,0.0,0.0,0.0
Final result,2026-07-19,Paraguay,0.0,0.0,0.0
Final result,2026-07-19,Australia,0.0,0.0,0.0
Final result,2026-07-19,Turkey,0.0,0.0,0.0
Final result,2026-07-19,Germany,0.0,0.0,0.0
Final result,2026-07-19,Curaçao,0.0,0.0,0.0
Final result,2026-07-19,Ivory Coast,0.0,0.0,0.0
Final result,2026-07-19,Ecuador,0.0,0.0,0.0
Final result,2026-07-19,Netherlands,0.0,0.0,0.0
Final result,2026-07-19,Japan,0.0,0.0,0.0
Final result,2026-07-19,Sweden,0.0,0.0,0.0
Final result,2026-07-19,Tunisia,0.0,0.0,0.0
Final result,2026-07-19,Belgium,0.0,0.0,0.0
Final result,2026-07-19,Egypt,0.0,0.0,0.0
Final result,2026-07-19,Iran,0.0,0.0,0.0
Final result,2026-07-19,New Zealand,0.0,0.0,0.0
Final result,2026-07-19,Spain,100.0,100.0,100.0
Final result,2026-07-19,Cape Verde,0.0,0.0,0.0
Final result,2026-07-19,Saudi Arabia,0.0,0.0,0.0
Final result,2026-07-19,Uruguay,0.0,0.0,0.0
Final result,2026-07-19,France,0.0,0.0,100.0
Final result,2026-07-19,Senegal,0.0,0.0,0.0
Final result,2026-07-19,Iraq,0.0,0.0,0.0
Final result,2026-07-19,Norway,0.0,0.0,0.0
Final result,2026-07-19,Argentina,0.0,100.0,100.0
Final result,2026-07-19,Algeria,0.0,0.0,0.0
Final result,2026-07-19,Austria,0.0,0.0,0.0
Final result,2026-07-19,Jordan,0.0,0.0,0.0
Final result,2026-07-19,Portugal,0.0,0.0,0.0
Final result,2026-07-19,DR Congo,0.0,0.0,0.0
Final result,2026-07-19,Uzbekistan,0.0,0.0,0.0
Final result,2026-07-19,Colombia,0.0,0.0,0.0
Final result,2026-07-19,England,0.0,0.0,100.0
Final result,2026-07-19,Croatia,0.0,0.0,0.0
Final result,2026-07-19,Ghana,0.0,0.0,0.0
Final result,2026-07-19,Panama,0.0,0.0,0.0
