team,group,elo_pre,reach_R32_%,reach_R16_%,quarterfinal_%,semifinal_%,final_%,champion_%,p_group_winner_%,modal_group_pos,actual_group_pos,expected_rounds,actual_rounds,over_under,actual_finish
DR Congo,K,1771,41.16,12.51,3.68,0.945,0.26,0.04,5.65,4,3,0.5859,1,0.4141,Round of 32
South Africa,A,1661,25.615,6.815,1.375,0.16,0.015,0.01,2.57,4,2,0.3399,1,0.6601,Round of 32
Bosnia and Herzegovina,B,1650,48.72,13.28,2.825,0.455,0.075,0.01,5.235,3,3,0.6537,1,0.3463,Round of 32
Qatar,B,1565,24.42,3.695,0.57,0.04,0.01,0.005,1.865,4,4,0.2874,0,-0.2874,Group stage
Cape Verde,H,1652,33.675,6.095,1.19,0.15,0.05,0.005,1.8,4,2,0.4116,1,0.5883,Round of 32
Saudi Arabia,H,1685,33.355,6.025,1.365,0.205,0.03,0.005,1.735,4,4,0.4098,0,-0.4098,Group stage
Jordan,J,1779,29.61,6.855,1.71,0.375,0.035,0.005,2.68,4,4,0.3859,0,-0.3859,Group stage
Haiti,C,1696,21.365,4.07,0.81,0.15,0.02,0.0,1.875,4,4,0.2641,0,-0.2641,Group stage
Curaçao,E,1601,15.45,2.4,0.325,0.03,0.0,0.0,1.22,4,4,0.182,0,-0.182,Group stage
Tunisia,F,1737,33.38,5.92,1.395,0.24,0.035,0.0,4.735,4,4,0.4097,0,-0.4097,Group stage
New Zealand,G,1718,34.115,9.375,1.58,0.22,0.045,0.0,4.24,4,4,0.4534,0,-0.4534,Group stage
Iraq,I,1749,12.99,2.605,0.545,0.075,0.025,0.0,0.835,4,4,0.1624,0,-0.1624,Group stage
Ghana,L,1624,28.845,5.125,0.92,0.13,0.015,0.0,2.655,4,3,0.3504,1,0.6497,Round of 32
